"id","year","marstat","emergency_savings","married"
1294,2012,6,0,0
1296,2012,2,0,0
1300,2012,0,0,0
1301,2012,1,1,1
1302,2012,3,0,0
1303,2012,1,1,1
1306,2012,2,0,0
1307,2012,3,0,0
1308,2012,2,0,0
1310,2012,1,1,1
1311,2012,1,0,1
1312,2012,1,1,1
1313,2012,3,0,0
1315,2012,1,1,1
1316,2012,1,1,1
1318,2012,0,0,0
1319,2012,1,0,1
1320,2012,3,1,0
1321,2012,3,0,0
1323,2012,1,1,1
1324,2012,1,0,1
1325,2012,1,1,1
1326,2012,1,1,1
1327,2012,1,0,1
1329,2012,3,0,0
1330,2012,3,0,0
1337,2012,2,0,0
1338,2012,3,1,0
1339,2012,6,0,0
1341,2012,6,0,0
1342,2012,3,0,0
1343,2012,1,0,1
1344,2012,0,1,0
1345,2012,1,0,1
1347,2012,1,1,1
1349,2012,1,0,1
1350,2012,1,0,1
1351,2012,3,0,0
1352,2012,1,0,1
1353,2012,3,0,0
1354,2012,1,1,1
1356,2012,6,0,0
1357,2012,1,1,1
1358,2012,1,1,1
1359,2012,3,0,0
1360,2012,1,0,1
1361,2012,3,1,0
1362,2012,1,0,1
1363,2012,1,1,1
1366,2012,3,0,0
1367,2012,1,0,1
1368,2012,1,0,1
1369,2012,1,1,1
1370,2012,3,0,0
1371,2012,1,0,1
1372,2012,3,1,0
1374,2012,1,0,1
1375,2012,3,0,0
1376,2012,2,0,0
1377,2012,3,0,0
1378,2012,3,0,0
1379,2012,1,1,1
1381,2012,0,0,0
1382,2012,0,0,0
1383,2012,1,0,1
1384,2012,3,0,0
1385,2012,3,0,0
1389,2012,1,0,1
1390,2012,1,0,1
1392,2012,6,0,0
1393,2012,1,1,1
1394,2012,1,1,1
1395,2012,1,0,1
1397,2012,1,0,1
1398,2012,1,0,1
1399,2012,3,0,0
1401,2012,1,0,1
1402,2012,1,1,1
1404,2012,1,0,1
1405,2012,2,0,0
1408,2012,3,1,0
1409,2012,1,0,1
1411,2012,3,0,0
1412,2012,3,1,0
1413,2012,1,0,1
1415,2012,2,0,0
1416,2012,1,1,1
1417,2012,1,0,1
1418,2012,1,0,1
1419,2012,3,0,0
1420,2012,1,0,1
1423,2012,1,1,1
1424,2012,1,0,1
1425,2012,3,1,0
1426,2012,1,0,1
1427,2012,0,0,0
1429,2012,0,0,0
1430,2012,1,0,1
1432,2012,1,1,1
1433,2012,1,1,1
1434,2012,1,0,1
1435,2012,2,0,0
1436,2012,2,0,0
1438,2012,0,0,0
1439,2012,6,0,0
1440,2012,2,0,0
1441,2012,0,1,0
1442,2012,1,1,1
1443,2012,1,0,1
1446,2012,1,0,1
1450,2012,3,0,0
1451,2012,1,0,1
1455,2012,2,0,0
1456,2012,2,0,0
1458,2012,1,0,1
1459,2012,3,1,0
1461,2012,3,0,0
1464,2012,1,1,1
1465,2012,1,0,1
1468,2012,1,1,1
1469,2012,1,1,1
1470,2012,1,0,1
1471,2012,1,0,1
1474,2012,1,1,1
1478,2012,3,0,0
1479,2012,1,1,1
1480,2012,0,1,0
1481,2012,1,0,1
1482,2012,2,1,0
1483,2012,2,0,0
1484,2012,3,0,0
1485,2012,3,0,0
1486,2012,1,1,1
1487,2012,1,0,1
1488,2012,0,0,0
1489,2012,3,0,0
1491,2012,3,0,0
1492,2012,1,0,1
1493,2012,1,0,1
1495,2012,1,1,1
1496,2012,1,1,1
1499,2012,1,0,1
1500,2012,1,0,1
1501,2012,1,0,1
1504,2012,1,1,1
1505,2012,1,1,1
1506,2012,1,0,1
1507,2012,1,0,1
1508,2012,3,0,0
1509,2012,1,1,1
1510,2012,0,0,0
1511,2012,0,1,0
1512,2012,1,0,1
1514,2012,3,0,0
1515,2012,1,0,1
1516,2012,3,0,0
1520,2012,3,0,0
1522,2012,1,1,1
1524,2012,6,0,0
1525,2012,1,0,1
1527,2012,1,0,1
1528,2012,3,0,0
1529,2012,2,1,0
1530,2012,1,0,1
1531,2012,1,1,1
1533,2012,3,0,0
1537,2012,3,0,0
1538,2012,3,0,0
1539,2012,1,1,1
1540,2012,3,0,0
1541,2012,1,1,1
1542,2012,6,0,0
1546,2012,1,0,1
1547,2012,3,0,0
1548,2012,3,0,0
1549,2012,3,0,0
1551,2012,1,0,1
1552,2012,1,0,1
1553,2012,1,0,1
1554,2012,1,0,1
1555,2012,0,0,0
1556,2012,1,1,1
1557,2012,1,1,1
1558,2012,3,0,0
1559,2012,1,1,1
1560,2012,3,0,0
1563,2012,1,1,1
1564,2012,1,0,1
1566,2012,1,0,1
1567,2012,1,1,1
1569,2012,2,0,0
1571,2012,3,0,0
1573,2012,3,0,0
1574,2012,3,1,0
1575,2012,1,1,1
1577,2012,1,0,1
1578,2012,3,0,0
1579,2012,3,0,0
1581,2012,1,0,1
1584,2012,1,0,1
1585,2012,3,1,0
1586,2012,1,1,1
1587,2012,1,1,1
1588,2012,1,1,1
1589,2012,0,1,0
1590,2012,3,0,0
1591,2012,3,0,0
1592,2012,1,1,1
1593,2012,3,0,0
1595,2012,3,0,0
1596,2012,1,0,1
1597,2012,0,0,0
1598,2012,3,0,0
1599,2012,1,1,1
1600,2012,1,0,1
1602,2012,1,1,1
1603,2012,3,1,0
1605,2012,1,0,1
1607,2012,1,1,1
1609,2012,1,0,1
1610,2012,1,1,1
1612,2012,1,0,1
1616,2012,1,0,1
1617,2012,1,1,1
1618,2012,1,1,1
1621,2012,0,0,0
1622,2012,1,0,1
1623,2012,0,0,0
1624,2012,0,1,0
1626,2012,0,1,0
1627,2012,3,0,0
1628,2012,0,1,0
1629,2012,1,1,1
1630,2012,1,0,1
1631,2012,3,0,0
1632,2012,1,1,1
1633,2012,0,1,0
1634,2012,1,1,1
1635,2012,1,0,1
1636,2012,1,0,1
1637,2012,1,1,1
1638,2012,1,0,1
1639,2012,1,1,1
1640,2012,3,0,0
1641,2012,1,1,1
1642,2012,6,0,0
1643,2012,1,0,1
1644,2012,3,0,0
1646,2012,3,1,0
1647,2012,0,0,0
1648,2012,2,0,0
1649,2012,2,0,0
1650,2012,2,0,0
1651,2012,1,1,1
1653,2012,0,0,0
1655,2012,1,1,1
1656,2012,2,1,0
1657,2012,1,0,1
1658,2012,1,1,1
1659,2012,3,0,0
1661,2012,3,0,0
1662,2012,6,0,0
1663,2012,3,0,0
1664,2012,0,0,0
1666,2012,3,0,0
1668,2012,1,1,1
1670,2012,1,0,1
1672,2012,0,0,0
1673,2012,2,0,0
1674,2012,2,0,0
1675,2012,1,0,1
1676,2012,1,1,1
1677,2012,1,1,1
1680,2012,1,0,1
1682,2012,3,1,0
1683,2012,1,0,1
1685,2012,1,0,1
1686,2012,0,0,0
1687,2012,0,0,0
1689,2012,1,0,1
1695,2012,3,0,0
1696,2012,1,1,1
1698,2012,0,0,0
1702,2012,1,1,1
1703,2012,1,1,1
1704,2012,1,0,1
1706,2012,0,0,0
1707,2012,1,1,1
1708,2012,1,0,1
1710,2012,0,0,0
1711,2012,1,0,1
1712,2012,1,1,1
1713,2012,0,0,0
1714,2012,0,0,0
1717,2012,2,0,0
1718,2012,1,1,1
1720,2012,1,1,1
1721,2012,1,1,1
